banking_crisis,bear_market,bull_market,business_confidence,consumer_confidence,debt_crisis,economic_growth,economic_recession,economic_recovery,financial_crisis,inflation,job_creation,job_losses,low_unemployment,recession,stock_market_crash,stock_market_optimism,stock_market_rally,strong_economy,unemployement,Date,SP500,SP500_return_w,SP500_vol_w_4,VIX,VIX_change_w
38,3,15,85,25,47,66,30,29,41,83,59,23,19,8,5,0,23,60,5,2016-11-18 23:59:59.999999999,2181.89990234375,0.0080297470381797,0.0244876780560556,12.850000381469728,-0.0977832180591886
46,2,12,39,17,40,41,19,20,30,58,48,13,9,5,4,0,34,26,4,2016-11-25 23:59:59.999999999,2213.35009765625,0.0143112369447994,0.0234046725556992,12.34000015258789,-0.0404978101850395
73,3,15,65,38,55,76,27,26,48,78,68,23,20,8,5,0,0,64,5,2016-12-02 23:59:59.999999999,2191.949951171875,-0.0097157127033087,0.0194284333404671,14.119999885559082,0.1347461931176662
100,3,15,62,33,57,86,33,31,57,87,67,24,21,8,6,0,54,67,5,2016-12-09 23:59:59.999999999,2259.530029296875,0.0303653036901823,0.0165699295699363,11.75,-0.1837389833700471
63,3,15,49,24,44,71,21,29,40,79,45,20,19,7,5,0,32,57,5,2016-12-16 23:59:59.999999999,2258.070068359375,-0.0006463436146477,0.0175812878368146,12.199999809265137,0.0375826955150376
29,3,10,38,16,27,37,11,16,23,50,25,14,6,4,3,0,17,28,5,2016-12-23 23:59:59.999999999,2263.7900390625,0.0025299207043691,0.0172851485817238,11.4399995803833,-0.0643199868333358
0,2,6,22,100,12,18,6,7,17,47,24,14,8,3,3,0,0,16,4,2016-12-30 23:59:59.999999999,2238.830078125,-0.0110869742339454,0.017699664333303,14.039999961853027,0.2047944466087744
38,3,12,42,21,26,34,13,12,20,53,59,16,6,4,4,0,0,37,5,2017-01-06 23:59:59.999999999,2276.97998046875,0.0168965521018043,0.0115533050268658,11.31999969482422,-0.2153393500645989
30,3,15,51,23,34,51,16,21,28,64,69,14,11,5,5,0,17,46,6,2017-01-13 23:59:59.999999999,2274.639892578125,-0.0010282440810405,0.0115831579559148,11.229999542236328,-0.0079823178282651
46,2,13,49,25,30,60,21,22,32,65,66,17,13,6,5,0,20,42,6,2017-01-20 23:59:59.999999999,2271.31005859375,-0.0014649675494284,0.0116743067624178,11.539999961853027,0.0272305297865432
43,2,15,62,25,33,76,22,24,33,68,72,21,17,7,6,0,17,61,7,2017-01-27 23:59:59.999999999,2294.68994140625,0.0102409492538567,0.0089766117651247,10.579999923706056,-0.0868538385553179
44,3,12,81,41,33,70,23,17,41,71,66,19,10,6,9,0,0,58,7,2017-02-03 23:59:59.999999999,2297.419921875,0.0011889875772318,0.0054628406701429,10.970000267028809,0.0361988794098659
43,3,14,63,25,35,69,21,25,39,76,55,19,10,6,6,0,17,78,6,2017-02-10 23:59:59.999999999,2316.10009765625,0.0080980586567157,0.0055511912364743,10.850000381469728,-0.0109991834839032
33,3,14,44,27,37,73,25,23,39,77,54,17,12,6,7,0,28,49,5,2017-02-17 23:59:59.999999999,2351.159912109375,0.0150240071711055,0.0057483289348176,11.489999771118164,0.0573119567956058
44,3,14,60,30,44,76,24,22,38,78,42,23,9,6,6,0,33,58,6,2017-02-24 23:59:59.999999999,2367.340087890625,0.0068582130765558,0.0056823507546583,11.470000267028809,-0.0017421175186664
49,3,15,65,43,39,79,29,24,39,83,59,24,20,7,8,0,32,65,6,2017-03-03 23:59:59.999999999,2383.1201171875,0.0066436036326937,0.0039642026644512,10.960000038146973,-0.0454826694214749
51,4,22,68,44,40,77,31,30,37,74,81,29,16,7,7,0,14,64,5,2017-03-10 23:59:59.999999999,2372.60009765625,-0.0044241613110946,0.0079842347987596,11.65999984741211,0.0619118828354734
