Date,banking_crisis,bear_market,bull_market,business_confidence,consumer_confidence,debt_crisis,economic_growth,economic_recession,economic_recovery,financial_crisis,inflation,job_creation,job_losses,low_unemployment,recession,stock_market_crash,stock_market_optimism,stock_market_rally,strong_economy,unemployement
2017-01-29,44,3,12,81,41,33,70,23,17,41,71,66,19,10,6,9,0,0,58,7
2017-02-05,43,3,14,63,25,35,69,21,25,39,76,55,19,10,6,6,0,17,78,6
2017-02-12,33,3,14,44,27,37,73,25,23,39,77,54,17,12,6,7,0,28,49,5
2017-02-19,44,3,14,60,30,44,76,24,22,38,78,42,23,9,6,6,0,33,58,6
2017-02-26,49,3,15,65,43,39,79,29,24,39,83,59,24,20,7,8,0,32,65,6
2017-03-05,51,4,22,68,44,40,77,31,30,37,74,81,29,16,7,7,0,14,64,5
2017-03-12,39,3,17,45,28,42,59,23,25,31,71,55,16,12,6,7,0,0,49,4
2017-03-19,53,3,15,72,29,41,68,30,29,38,73,40,14,16,7,7,0,15,46,5
2017-03-26,47,3,16,100,78,37,69,28,35,48,77,55,16,19,7,7,0,0,48,4
2017-04-02,53,3,13,84,39,46,71,31,27,43,72,49,21,19,7,7,0,0,55,5
2017-04-09,56,3,13,96,37,46,65,24,29,42,75,40,13,17,6,5,0,0,56,6
2017-04-16,65,3,14,59,28,49,72,34,31,46,79,54,18,22,7,5,0,0,55,5
2017-04-23,73,3,14,79,44,53,100,38,51,55,90,64,25,19,8,7,0,0,59,6
2017-04-30,58,3,14,80,41,63,83,33,33,46,81,75,13,20,7,6,0,0,56,5
2017-05-07,59,3,13,63,30,46,68,32,31,39,79,47,16,19,7,6,0,0,58,4
2017-05-14,36,3,13,25,26,38,46,21,26,31,60,40,14,17,6,7,0,0,45,4
2017-05-21,21,3,11,34,22,39,48,19,25,27,55,49,15,12,5,4,0,0,28,4
2017-05-28,28,2,10,37,22,28,37,15,16,27,56,50,22,12,4,4,0,0,33,4
2017-06-04,28,3,9,31,16,29,37,16,18,27,50,31,0,11,5,4,0,0,32,4
2017-06-11,23,2,10,40,20,26,35,12,13,26,54,37,13,9,4,3,0,0,21,5
2017-06-18,23,4,9,31,22,26,32,11,14,31,49,33,19,9,4,3,0,0,22,4
2017-06-25,22,3,9,47,27,36,30,10,11,33,47,21,9,10,4,3,0,0,22,5
2017-07-02,27,4,12,32,16,25,29,10,11,27,49,40,16,13,4,3,0,0,13,4
2017-07-09,25,3,9,23,14,24,30,11,11,27,47,35,12,9,4,2,0,0,21,4
2017-07-16,15,2,10,42,19,20,29,11,15,25,49,36,12,8,4,3,0,0,17,4
2017-07-23,0,3,10,42,27,27,28,12,11,25,49,43,15,9,4,3,0,20,19,5
2017-07-30,23,3,11,31,30,32,34,11,11,23,47,57,13,16,4,3,0,0,35,4
2017-08-06,31,3,9,34,18,20,24,7,10,27,47,73,0,12,3,4,0,0,16,3
2017-08-13,21,3,10,33,15,18,26,6,10,21,41,71,10,10,3,4,0,0,0,4
2017-08-20,0,3,8,31,18,25,33,12,10,20,43,57,0,7,4,3,0,0,19,4
2017-08-27,14,3,9,41,23,22,44,12,7,26,48,55,9,11,4,3,0,0,29,4
2017-09-03,14,2,10,41,19,29,53,15,12,23,50,36,9,14,4,3,0,0,47,4
2017-09-10,16,2,10,41,20,33,56,15,14,27,58,37,0,6,5,3,0,0,43,4
2017-09-17,27,3,13,57,16,51,64,20,15,33,65,43,12,11,5,3,0,0,45,4
2017-09-24,20,3,12,42,32,68,70,24,26,34,71,43,13,14,6,4,0,0,41,4
2017-10-01,25,3,11,42,25,62,65,18,19,30,68,44,27,12,5,4,0,0,42,5
2017-10-08,37,3,11,50,28,41,75,24,17,35,72,44,27,14,5,4,0,15,36,5
2017-10-15,43,3,15,67,35,40,74,27,22,35,75,44,8,15,6,8,0,17,49,4
2017-10-22,40,3,12,45,21,44,74,24,19,34,74,43,16,18,6,6,0,0,45,4
2017-10-29,47,3,14,67,40,51,76,26,20,36,76,47,14,16,6,5,0,0,42,5
2017-11-05,40,3,15,71,31,43,73,30,20,34,74,48,15,22,6,6,0,0,61,5
2017-11-12,57,3,14,64,28,43,72,28,20,41,78,46,14,17,7,6,0,0,62,5
2017-11-19,16,3,11,41,20,29,41,16,13,27,61,34,12,12,4,4,0,0,31,3
2017-11-26,56,4,18,65,56,41,83,31,23,42,82,46,18,23,8,8,0,19,70,5
2017-12-03,72,3,18,62,25,43,82,32,31,45,82,71,11,25,8,8,0,17,64,5
2017-12-10,59,4,18,54,30,44,78,28,22,38,84,46,15,21,7,7,0,0,74,5
2017-12-17,29,4,16,36,20,23,52,14,13,28,65,47,0,14,5,5,0,0,37,4
2017-12-24,16,3,12,0,18,19,22,7,7,15,52,29,0,8,3,3,0,0,13,3
2017-12-31,18,3,15,29,20,26,31,11,9,20,51,72,11,17,4,4,0,0,26,5
2018-01-07,20,4,21,45,27,27,52,15,17,25,63,72,15,19,5,7,0,15,39,6
2018-01-14,24,5,20,47,20,31,58,20,17,27,62,58,12,20,5,7,0,16,48,5
2018-01-21,29,4,21,57,29,29,77,22,21,30,74,73,19,14,6,8,0,16,61,7
2018-01-28,39,5,21,51,32,29,82,22,19,31,82,100,25,48,7,15,0,0,54,6
2018-02-04,34,11,27,46,24,37,69,29,21,35,100,53,20,20,8,100,0,34,56,6
2018-02-11,32,5,18,55,26,39,69,25,21,31,99,48,20,15,7,9,0,0,55,5
2018-02-18,52,4,13,73,16,31,65,28,18,30,78,42,13,18,6,7,0,0,53,5
2018-02-25,52,4,15,57,31,35,79,29,22,33,84,35,14,16,7,9,0,0,59,5
2018-03-04,48,4,20,43,24,27,74,35,26,35,79,54,16,18,7,7,0,0,72,4
2018-03-11,54,3,14,34,25,31,62,24,23,32,71,39,14,17,6,7,0,0,46,4
2018-03-18,51,5,16,67,24,30,64,23,24,31,77,49,11,17,7,9,0,0,53,3
2018-03-25,42,7,16,76,30,44,59,25,17,30,83,44,12,16,6,7,0,0,54,4
2018-04-01,52,5,14,54,27,39,63,27,30,36,73,45,0,17,7,7,0,0,50,4
2018-04-08,41,4,14,68,24,41,70,30,31,37,82,37,18,21,7,7,0,0,51,5
2018-04-15,46,3,14,74,26,44,74,33,40,40,81,46,16,23,8,6,0,0,59,4
2018-04-22,55,4,15,63,29,47,78,35,34,40,84,40,9,27,9,6,0,0,60,5
2018-04-29,45,4,13,59,26,51,83,35,34,42,89,47,16,32,8,6,0,0,61,5
2018-05-06,48,3,13,66,27,39,69,36,32,34,81,58,8,26,7,5,0,0,55,4
2018-05-13,31,3,11,33,22,30,52,25,21,29,72,35,9,21,7,5,0,0,55,5
2018-05-20,29,3,10,54,15,29,48,29,17,28,68,38,12,16,7,4,0,0,44,4
2018-05-27,26,3,8,45,22,47,41,17,13,31,59,30,17,24,5,4,0,0,40,4
2018-06-03,26,3,9,40,27,36,39,17,12,26,55,33,11,23,6,3,0,0,26,5
2018-06-10,33,3,9,43,27,28,38,16,12,25,59,40,11,18,8,3,0,0,35,5
2018-06-17,25,3,9,40,18,20,34,11,9,22,50,30,13,16,6,3,0,0,23,4
2018-06-24,16,5,11,41,23,27,36,13,11,25,52,36,17,14,8,3,0,0,25,3
2018-07-01,23,3,9,27,14,25,26,11,7,19,50,35,12,14,6,3,0,0,23,4
2018-07-08,15,5,9,38,20,25,30,14,10,21,56,35,9,18,6,2,0,0,30,4
2018-07-15,18,3,12,21,15,22,35,12,12,24,56,30,12,35,7,2,0,0,30,4
2018-07-22,20,3,10,44,18,20,59,13,11,23,60,32,12,22,7,3,0,0,41,4
2018-07-29,19,4,10,26,19,18,54,11,12,24,58,39,13,19,7,3,0,0,32,5
2018-08-05,13,3,9,44,12,35,29,8,11,29,55,41,0,14,5,3,0,0,22,4
2018-08-12,15,4,11,40,17,34,29,8,9,34,56,45,8,17,6,3,0,0,33,4
2018-08-19,19,5,60,31,20,24,37,13,11,24,58,37,9,13,6,4,0,0,41,3
2018-08-26,22,4,17,31,68,34,53,16,11,28,65,46,11,16,6,3,0,0,64,3
2018-09-02,0,4,14,41,26,34,59,18,14,35,69,48,13,23,7,4,0,0,49,3
2018-09-09,26,6,13,69,28,90,78,29,27,64,73,52,10,18,8,4,0,0,59,4
2018-09-16,22,4,15,61,27,56,69,24,18,49,73,35,14,18,8,4,0,0,54,4
2018-09-23,33,3,12,43,55,57,67,25,19,41,77,37,15,17,8,4,0,0,57,3
2018-09-30,31,4,11,44,29,40,69,23,14,39,80,36,21,35,8,5,0,0,52,4
2018-10-07,32,6,21,60,30,48,69,26,17,40,81,45,14,31,9,18,0,16,51,4
2018-10-14,22,5,14,53,26,56,68,28,16,39,75,39,16,25,9,6,0,0,59,4
2018-10-21,35,8,16,77,29,43,74,31,27,35,74,49,12,23,10,10,0,0,62,4
2018-10-28,45,6,16,57,52,52,73,28,21,39,84,64,12,26,9,8,0,17,71,5
2018-11-04,40,5,12,84,31,50,73,25,18,36,79,66,9,27,8,6,0,20,70,4
2018-11-11,42,8,15,73,30,62,61,30,21,41,78,35,11,24,9,6,0,0,62,4
2018-11-18,28,9,13,52,19,42,39,23,14,32,64,24,19,13,8,6,0,25,28,3
2018-11-25,48,7,17,54,35,54,69,35,19,42,81,44,21,21,10,6,0,0,61,4
2018-12-02,47,7,17,83,27,100,78,42,29,48,87,35,16,28,14,11,0,17,80,4
2018-12-09,66,6,17,76,28,59,77,43,26,66,86,32,15,23,12,9,0,0,75,4
2018-12-16,31,27,27,35,22,42,49,31,13,43,74,27,11,16,16,18,0,44,56,4
2018-12-23,0,34,28,26,30,40,21,13,5,31,55,16,0,7,11,27,0,67,21,4
2018-12-30,16,7,15,30,15,38,33,19,9,30,54,32,9,15,9,5,0,16,29,5
2019-01-06,30,5,18,29,21,48,56,26,18,29,68,37,16,19,9,7,0,0,65,6
2019-01-13,27,4,16,43,22,33,64,27,21,29,71,36,15,17,10,7,0,0,55,6
2019-01-20,26,4,13,62,28,45,64,28,13,27,70,23,13,19,9,6,0,0,61,6
2019-01-27,30,4,14,51,36,39,65,27,21,29,74,34,14,19,8,6,0,0,63,5
2019-02-03,39,4,14,69,25,33,72,30,20,27,75,57,12,30,8,6,0,0,73,5
2019-02-10,30,4,14,49,26,44,64,28,21,32,79,43,18,21,9,6,0,15,55,4
2019-02-17,34,3,11,59,22,42,63,26,22,32,80,47,14,21,8,6,0,0,48,4
2019-02-24,59,3,13,66,34,43,77,28,24,37,84,36,20,20,9,7,0,13,71,4
