model,RMSE,MAE,R2
Ridge,0.03583864771847286,0.021515191821231936,-0.1735819170723909
Lasso,0.036116127440287964,0.02161414615938987,-0.19182511842208005
RandomForest,0.03628216886175969,0.022727859205592046,-0.20280897793838926
OLS,0.03640472771044779,0.02171612920130437,-0.21094872631563044
