Date,SP500,SP500_return_w,SP500_vol_w_4,VIX,VIX_change_w
2015-01-30,1994.989990234375,-0.02808820457631138,0.018236966943738178,20.969999313354492,0.2300821845898859
2015-02-06,2055.469970703125,0.02986548510424625,0.02635397429473367,17.290000915527344,-0.19296445952318442
2015-02-13,2096.989990234375,0.019998460527117463,0.025683953706571797,14.6899995803833,-0.16296139102546112
2015-02-20,2110.300048828125,0.006327162079906648,0.025320759264021133,14.300000190734863,-0.02690741101703614
2015-02-27,2104.5,-0.0027522313856432573,0.014440279381135497,13.34000015258789,-0.06949249867811365
2015-03-06,2071.260009765625,-0.015920786764270077,0.015125883373534613,15.199999809265137,0.13052836337803406
2015-03-13,2053.39990234375,-0.008660214139809948,0.009412133504353349,16.0,0.05129330693589695
2015-03-20,2108.10009765625,0.026290205884011996,0.018501788086054696,13.020000457763672,-0.20610205030085854
2015-03-27,2061.02001953125,-0.02258609884351382,0.02176247819976408,15.069999694824219,0.14621932044893157
2015-04-03,2066.9599609375,0.002877894531485438,0.020684201945810114,14.670000076293945,-0.026901395032286134
2015-04-10,2102.06005859375,0.016838934269007736,0.021260320722934174,12.579999923706055,-0.1536963521479753
2015-04-17,2081.179931640625,-0.009982836464490254,0.016934449195608613,13.890000343322754,0.09906093627592007
2015-04-24,2117.68994140625,0.017390836602460866,0.013038291294303537,12.289999961853027,-0.122383261009473
2015-05-01,2108.2900390625,-0.004448633400754257,0.014229606311926482,12.699999809265137,0.032816057972012334
2015-05-08,2116.10009765625,0.003697607105137677,0.011895125526366845,12.859999656677246,0.012519713666472526
2015-05-15,2122.72998046875,0.003128168903525456,0.009092048272077158,12.380000114440918,-0.03803941561205873
2015-05-22,2126.06005859375,0.0015675421831955873,0.0037334136344663853,12.130000114440918,-0.02040054410997163
2015-05-29,2107.389892578125,-0.008820365079976883,0.005878440138107999,13.84000015258789,0.13188122882416564
2015-06-05,2092.830078125,-0.006932909644277941,0.00598718846274695,14.210000038146973,0.02638298357886513
2015-06-12,2094.110107421875,0.0006114390366372094,0.005248166709603446,13.779999732971191,-0.030727698586010696
2015-06-19,2109.989990234375,0.0075545101051144965,0.0075037030753682095,13.960000038146973,0.012977853859302998
2015-06-26,2101.489990234375,-0.0040365912130882866,0.006320306158870582,14.020000457763672,0.00428881419038712
2015-07-03,2076.780029296875,-0.011827980911053552,0.008140894355482537,16.790000915527344,0.18029861136037564
2015-07-10,2076.6201171875,-7.700298734244507e-05,0.008076427398854362,16.829999923706055,0.0023794780519228666
2015-07-17,2126.639892578125,0.02380159051204457,0.015354390044247676,11.949999809265137,-0.3424317412530602
2015-07-24,2079.64990234375,-0.022343655546952373,0.019818985074438945,13.739999771118164,0.13958000771969342
2015-07-31,2103.840087890625,0.011564724767179298,0.019643539526310705,12.119999885559082,-0.12545429893728807
2015-08-07,2077.570068359375,-0.012565313705246514,0.021270733651417715,13.390000343322754,0.099651214144468
2015-08-14,2091.5400390625,0.006701680996035428,0.0159847605440737,12.829999923706055,-0.04272201266229862
2015-08-21,1970.8900146484375,-0.059415430611851776,0.03238018091799342,28.030000686645508,0.7814892169924862
2015-08-28,1988.8699951171875,0.009081410991922835,0.031759098566411605,26.049999237060547,-0.07325765076163139
2015-09-04,1921.219970703125,-0.034606250138054837,0.0332908961745846,27.799999237060547,0.06501825434085333
2015-09-11,1961.050048828125,0.020519683317875657,0.037389001872911116,23.200000762939453,-0.18088368169514074
2015-09-18,1958.030029296875,-0.001541188273179044,0.02375418267525059,22.280000686645508,-0.0404628656795835
2015-09-25,1931.3399658203125,-0.013724835887826463,0.023050688234103386,23.6200008392334,0.0584044004218406
2015-10-02,1951.3599853515625,0.010312513048480503,0.01480512615054304,20.940000534057617,-0.12043261535326749
2015-10-09,2014.8900146484375,0.03203805273698566,0.01949476879611829,17.079999923706055,-0.2037530470530095
2015-10-16,2033.1099853515625,0.009002022600318505,0.018692514902008843,15.050000190734863,-0.12653018002526767
2015-10-23,2075.14990234375,0.020466759958482062,0.01069586716912879,14.460000038146973,-0.03999178449957563
2015-10-30,2079.360107421875,0.002026812552869576,0.013182543560303033,15.069999694824219,0.041319773019132464
2015-11-06,2099.199951171875,0.009496090787713083,0.007618591410694061,14.329999923706055,-0.05035075587184545
2015-11-13,2023.0400390625,-0.036954946593409976,0.02498450547002141,20.079999923706055,0.3373690545080202
2015-11-20,2089.169921875,0.03216547060433006,0.02877055511756346,15.470000267028809,-0.2608216091779809
2015-11-27,2090.110107421875,0.00044992704779051913,0.028775083379914797,15.119999885559082,-0.02288431866350502
2015-12-04,2091.68994140625,0.0007555760873730559,0.028271585801162884,14.8100004196167,-0.020715706569500544
2015-12-11,2012.3699951171875,-0.03865919412890574,0.028999613794812477,24.389999389648438,0.4988705305901217
2015-12-18,2005.550048828125,-0.003394767822229346,0.01905852321950624,20.700000762939453,-0.16403945007486315
2015-12-25,2060.989990234375,0.027268083442415776,0.027086064452660357,15.739999771118164,-0.27392850868045676
2016-01-01,2043.93994140625,-0.008307156108529506,0.026989460254816307,18.209999084472656,0.14576561501559493
2016-01-08,1922.030029296875,-0.0614973546262648,0.036871794191339076,27.010000228881836,0.39423633281505144
2016-01-15,1880.3299560546875,-0.021934664428090153,0.036680971133673884,27.020000457763672,0.0003701731952226259
2016-01-22,1906.9000244140625,0.014031629679692091,0.031724511803049,22.34000015258789,-0.19019854900240396
2016-01-29,1940.239990234375,0.017332772069165978,0.036889955975862636,20.200000762939453,-0.10069615829487118
